# y+ ()       
# Time        	patch         	min           	max           	average       
1500          	lowerWall	1.635542e+00	3.019130e+03	8.566573e+01
1500          	f499p_body	1.638525e-01	1.534500e+03	8.031740e+01
1500          	f499p_wheel_FL	1.484989e+00	1.050063e+03	7.352747e+01
1500          	f499p_wheel_FR	7.331350e-01	1.354085e+03	7.507974e+01
1500          	f499p_wheel_RL	1.373609e+00	1.142420e+03	7.172129e+01
1500          	f499p_wheel_RR	7.841604e-01	7.875075e+02	7.676960e+01
